Source Name	Provider	Material Type	Term Source REF	Characteristics [Organism]	Characteristics [organism_part]	Comment [characteristic description]	Term Source REF	Protocol REF	Sample Name	Protocol REF	Parameter Value [Amplification]	Extract Name	Comment [TCGA Barcode]	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]
->	->	->	->	->	->	->	->	->	->	->	none	362b128f-b14b-4728-b298-e498a91d2ee1	TCGA-02-0024-01B-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0024-01B-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	134	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	134	0134.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	134	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	134	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	134	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	2799ed77-955d-4b50-abf0-a818fd618037	TCGA-02-0027-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0027-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	135	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	135	0135.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	135	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	135	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	135	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	24c38fe2-b29b-446e-ae36-ad7ae7b22e61	TCGA-02-0028-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0028-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	136	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	136	0136.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	136	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	136	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	136	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	c4ae71a7-890a-4b0e-a92c-9181807766a5	TCGA-02-0033-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0033-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	137	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	137	0137.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	137	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	137	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	137	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	f782f310-13d1-46e7-a863-a739da869f33	TCGA-02-0034-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0034-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	138	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	138	0138.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	138	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	138	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	138	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	2889d992-0a15-43db-ac05-ce6aeb70dfae	TCGA-02-0037-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0037-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	139	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	139	0139.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	139	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	139	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	139	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	2726e409-3a18-45a1-8709-159d9b42b361	TCGA-02-0038-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0038-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	140	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	140	0140.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	140	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	140	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	140	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	5f01234a-91e4-4e5a-96f5-b34acf888197	TCGA-02-0043-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0043-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	141	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	141	0141.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	141	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	141	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	141	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	d13ffa34-a418-4a17-8f6e-110c21f98ece	TCGA-02-0046-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0046-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	142	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	142	0142.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	142	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	142	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	142	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	849f3911-dec9-4750-92ac-2e6bb6323fad	TCGA-02-0047-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0047-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	143	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	143	0143.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	143	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	143	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	143	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
